x_values, observed, sim_initial_guess, sim_MAP, sim_mu_AP
0.000000000000000000e+00,4.039999999999999944e-05,3.099239580355856751e-09,3.099239580355856751e-09,7.916382466457174555e-03
3.850000000000000089e-01,1.145000000000000049e-04,3.228838139807745209e-09,3.228838139807745209e-09,7.973692655952087024e-03
7.700000000000000178e-01,2.089999999999999844e-04,3.363510064587820739e-09,3.363510064587820739e-09,8.031998236834462027e-03
1.155000000000000027e+00,3.237000000000000077e-04,3.503440036825734335e-09,3.503440036825734335e-09,8.091307166432623599e-03
1.540000000000000036e+00,4.591999999999999403e-04,3.648818937482528800e-09,3.648818937482528800e-09,8.151626717375057285e-03
1.925000000000000044e+00,6.158999999999999544e-04,3.799844036058170246e-09,3.799844036058170246e-09,8.212963942684430724e-03
2.310000000000000053e+00,7.876000000000000622e-04,3.956719185616372341e-09,3.956719185616372341e-09,8.275325696133798217e-03
2.694999999999999840e+00,9.740000000000000394e-04,4.119655023072317916e-09,4.119655023072317916e-09,8.338718356878998747e-03
3.080000000000000071e+00,1.173200000000000111e-03,4.288869174954468301e-09,4.288869174954468301e-09,8.403147896606935965e-03
3.464999999999999858e+00,1.387299999999999948e-03,4.464586468782641579e-09,4.464586468782641579e-09,8.468619882146088962e-03
3.850000000000000089e+00,1.614300000000000153e-03,4.647039150184193528e-09,4.647039150184193528e-09,8.535139403420674217e-03
4.235000000000000320e+00,1.853700000000000009e-03,4.836467105883912149e-09,4.836467105883912149e-09,8.602711103932790190e-03
4.620000000000000107e+00,2.105800000000000553e-03,5.033118092708060345e-09,5.033118092708060345e-09,8.671339127305822264e-03
5.004999999999999893e+00,2.368499999999999946e-03,5.237247972744278531e-09,5.237247972744278531e-09,8.741027096945437960e-03
5.389999999999999680e+00,2.643899999999999809e-03,5.449120954802539696e-09,5.449120954802539696e-09,8.811778087032956508e-03
5.775000000000000355e+00,2.930300000000000266e-03,5.669009842325494381e-09,5.669009842325494381e-09,8.883594629528429251e-03
6.160000000000000142e+00,3.223900000000000463e-03,5.897196287896597659e-09,5.897196287896597659e-09,8.956478658916945668e-03
6.544999999999999929e+00,3.521099999999999664e-03,6.133971054349129947e-09,6.133971054349129947e-09,9.030431477804284207e-03
6.929999999999999716e+00,3.817399999999999873e-03,6.379634283137411962e-09,6.379634283137411962e-09,9.105453739086881437e-03
7.315000000000000391e+00,4.102699999999999923e-03,6.634495769633064922e-09,6.634495769633064922e-09,9.181545461202715933e-03
7.700000000000000178e+00,4.369800000000000073e-03,6.898875245515343735e-09,6.898875245515343735e-09,9.258705956124732225e-03
8.085000000000000853e+00,4.609799999999999835e-03,7.173102668652274707e-09,7.173102668652274707e-09,9.336933797358866818e-03
8.470000000000000639e+00,4.822399999999999257e-03,7.457518520551891320e-09,7.457518520551891320e-09,9.416226801501606167e-03
