x_values, observed, sim_initial_guess, sim_MAP, sim_mu_AP
0.000000000000000000e+00,4.039999999999999944e-05,2.663989968575084140e-03,-6.563852278006839132e-04
3.850000000000000089e-01,1.145000000000000049e-04,2.752576441953485595e-03,-4.715369699514052114e-04
7.700000000000000178e-01,2.089999999999999844e-04,2.843784680098416194e-03,-2.827538959143780666e-04
1.155000000000000027e+00,3.237000000000000077e-04,2.937677045641349290e-03,-8.998836507061869347e-05
1.540000000000000036e+00,4.591999999999999403e-04,3.034316115678779933e-03,1.068050986563720035e-04
1.925000000000000044e+00,6.158999999999999544e-04,3.133765389905323467e-03,3.076715296823606107e-04
2.310000000000000053e+00,7.876000000000000622e-04,3.236088828126531571e-03,5.126540815863073457e-04
2.694999999999999840e+00,9.740000000000000394e-04,3.341350896561258704e-03,7.217942205567111271e-04
3.080000000000000071e+00,1.173200000000000111e-03,3.449616494753808636e-03,9.351315498203624857e-04
3.464999999999999858e+00,1.387299999999999948e-03,3.560950894836331562e-03,1.152703691883405317e-03
3.850000000000000089e+00,1.614300000000000153e-03,3.675419662595406575e-03,1.374546110639395576e-03
4.235000000000000320e+00,1.853700000000000009e-03,3.793088600044947339e-03,1.600691925964267074e-03
4.620000000000000107e+00,2.105800000000000553e-03,3.914023628018264978e-03,1.831171821889913693e-03
5.004999999999999893e+00,2.368499999999999946e-03,4.038290708968095104e-03,2.066013812599829663e-03
5.389999999999999680e+00,2.643899999999999809e-03,4.165955796120396869e-03,2.305243004805681683e-03
5.775000000000000355e+00,2.930300000000000266e-03,4.297084681735609431e-03,2.548881547149391569e-03
6.160000000000000142e+00,3.223900000000000463e-03,4.431742901518796046e-03,2.796948393867518950e-03
6.544999999999999929e+00,3.521099999999999664e-03,4.569995619024779659e-03,3.049459014237323150e-03
6.929999999999999716e+00,3.817399999999999873e-03,4.711907500441623459e-03,3.306425290747937867e-03
7.315000000000000391e+00,4.102699999999999923e-03,4.857542587650770342e-03,3.567855292448707163e-03
7.700000000000000178e+00,4.369800000000000073e-03,5.006964152967228326e-03,3.833752966388166272e-03
8.085000000000000853e+00,4.609799999999999835e-03,5.160234554886292818e-03,4.104118021158812898e-03
8.470000000000000639e+00,4.822399999999999257e-03,5.317415096841397563e-03,4.378945687151405627e-03
8.855000000000000426e+00,5.006800000000000486e-03,5.478565826552209833e-03,4.658226385989404188e-03
9.240000000000000213e+00,5.167499999999999351e-03,5.643745366532573748e-03,4.941945609946258970e-03
9.625000000000000000e+00,5.305300000000000640e-03,5.813010724843545828e-03,5.230083704782483196e-03
1.000999999999999979e+01,5.423199999999999549e-03,5.986417128913441507e-03,5.522615301310078266e-03
1.039499999999999957e+01,5.526500000000000162e-03,6.164017875206411617e-03,5.819509250414313037e-03
1.077999999999999936e+01,5.620499999999999628e-03,6.345863996379654329e-03,6.120728802798112468e-03
1.116499999999999915e+01,5.708399999999999759e-03,6.532004064846430418e-03,6.426230574006612864e-03
1.155000000000000071e+01,5.790199999999999687e-03,6.722484001739196385e-03,6.735964801576768170e-03
1.193500000000000050e+01,5.869499999999999718e-03,6.917346874374721497e-03,7.049875028734449434e-03
1.232000000000000028e+01,5.949100000000000568e-03,7.116632498277186344e-03,7.367897222267505604e-03
1.270500000000000007e+01,6.030300000000000590e-03,7.320377201091223841e-03,7.689960592378439729e-03
1.308999999999999986e+01,6.122299999999999791e-03,7.528613625548836660e-03,8.015986290446763113e-03
1.347499999999999964e+01,6.218500000000000069e-03,7.741370490020118254e-03,8.345887901492498456e-03
1.385999999999999943e+01,6.324800000000000214e-03,7.958672096021565667e-03,8.679570415652508239e-03
1.424499999999999922e+01,6.446999999999999606e-03,8.180538104854754439e-03,9.016930682289387572e-03
1.463000000000000078e+01,6.586399999999999200e-03,8.406983324161728527e-03,9.357857075920449422e-03
1.501500000000000057e+01,6.752900000000000048e-03,8.638017163406922980e-03,9.702226945817998133e-03
1.540000000000000036e+01,6.949299999999999401e-03,8.873643337570652490e-03,1.004991144374627922e-02
1.578500000000000014e+01,7.181199999999999563e-03,9.113859742865946037e-03,1.040076962344385451e-02
1.617000000000000171e+01,7.450599999999999931e-03,9.358657803235793243e-03,1.075465190686295328e-02
1.655499999999999972e+01,7.761100000000000811e-03,9.608022081410347998e-03,1.111139851683829588e-02
1.694000000000000128e+01,8.113500000000000920e-03,9.861930199511832057e-03,1.147083906507678948e-02
1.732499999999999929e+01,8.505099999999999813e-03,1.012035220995658770e-02,1.183279263620684238e-02
1.771000000000000085e+01,8.938500000000000265e-03,1.038325003694535661e-02,1.219706753589371549e-02
1.809499999999999886e+01,9.411799999999999680e-03,1.065057735105388176e-02,1.256346095889608085e-02
1.848000000000000043e+01,9.917299999999998686e-03,1.092227917975659331e-02,1.293175870288314905e-02
1.886499999999999844e+01,1.045289999999999934e-02,1.119829114300714169e-02,1.330173539733671417e-02
1.925000000000000000e+01,1.101489999999999934e-02,1.147853937774991930e-02,1.367315375673735199e-02
1.963500000000000156e+01,1.160439999999999909e-02,1.176293984496988229e-02,1.404576504212083111e-02
2.001999999999999957e+01,1.222339999999999885e-02,1.205139787018006010e-02,1.441930832952389822e-02
2.040500000000000114e+01,1.286760000000000161e-02,1.234380808687428333e-02,1.479351064622758637e-02
2.078999999999999915e+01,1.352640000000000092e-02,1.264005345063995769e-02,1.516808726466695872e-02
2.117500000000000071e+01,1.419779999999999827e-02,1.294000512889951007e-02,1.554274093025964296e-02
2.155999999999999872e+01,1.488210000000000054e-02,1.324352216169395746e-02,1.591716199878098065e-02
