x_values, observed, sim_initial_guess, sim_MAP, sim_mu_AP
0.000000000000000000e+00,4.039999999999999944e-05,4.462667462059876657e-05,4.462667462059876657e-05,6.390952291920843709e-05
3.850000000000000089e-01,1.145000000000000049e-04,1.630150260945951502e-04,1.630150260945951502e-04,1.826387607892803648e-04
7.700000000000000178e-01,2.089999999999999844e-04,2.854104592674797255e-04,2.854104592674797255e-04,3.053694812458708410e-04
1.155000000000000027e+00,3.237000000000000077e-04,4.119252352224707305e-04,4.119252352224707305e-04,4.322130503841867082e-04
1.540000000000000036e+00,4.591999999999999403e-04,5.426730408972983786e-04,5.426730408972983786e-04,5.632822076149214758e-04
1.925000000000000044e+00,6.158999999999999544e-04,6.777693893179608398e-04,6.777693893179608398e-04,6.986914714683320222e-04
2.310000000000000053e+00,7.876000000000000622e-04,8.173312084503967260e-04,8.173312084503967260e-04,8.385567231356047405e-04
2.694999999999999840e+00,9.740000000000000394e-04,9.614768057942352187e-04,9.614768057942352187e-04,9.829951704365378923e-04
3.080000000000000071e+00,1.173200000000000111e-03,1.110325738201851757e-03,1.110325738201851757e-03,1.132125217103675417e-03
3.464999999999999858e+00,1.387299999999999948e-03,1.263998687996815452e-03,1.263998687996815452e-03,1.286066337397816922e-03
3.850000000000000089e+00,1.614300000000000153e-03,1.422617318016026209e-03,1.422617318016026209e-03,1.444938930047131968e-03
4.235000000000000320e+00,1.853700000000000009e-03,1.586304078793192426e-03,1.586304078793192426e-03,1.608864125793705744e-03
4.620000000000000107e+00,2.105800000000000553e-03,1.755182030160345888e-03,1.755182030160345888e-03,1.777963605873581583e-03
5.004999999999999893e+00,2.368499999999999946e-03,1.929374717512778552e-03,1.929374717512778552e-03,1.952359479899958396e-03
5.389999999999999680e+00,2.643899999999999809e-03,2.109005884973398550e-03,2.109005884973398550e-03,2.132173997781326973e-03
5.775000000000000355e+00,2.930300000000000266e-03,2.294199258559439722e-03,2.294199258559439722e-03,2.317529332963736474e-03
6.160000000000000142e+00,3.223900000000000463e-03,2.485078295959655161e-03,2.485078295959655161e-03,2.508547331757559219e-03
6.544999999999999929e+00,3.521099999999999664e-03,2.681765914183985040e-03,2.681765914183985040e-03,2.705349241261459717e-03
6.929999999999999716e+00,3.817399999999999873e-03,2.884384193967417468e-03,2.884384193967417468e-03,2.908055414923173179e-03
7.315000000000000391e+00,4.102699999999999923e-03,3.093054059109248775e-03,3.093054059109248775e-03,3.116784990994861306e-03
7.700000000000000178e+00,4.369800000000000073e-03,3.307894967209779307e-03,3.307894967209779307e-03,3.331655584598762834e-03
8.085000000000000853e+00,4.609799999999999835e-03,3.529024491776582527e-03,3.529024491776582527e-03,3.552782873164002462e-03
8.470000000000000639e+00,4.822399999999999257e-03,3.756557926112316821e-03,3.756557926112316821e-03,3.780280199848454203e-03
8.855000000000000426e+00,5.006800000000000486e-03,3.990607857342552169e-03,3.990607857342552169e-03,4.014258149803030806e-03
9.240000000000000213e+00,5.167499999999999351e-03,4.231283705349497305e-03,4.231283705349497305e-03,4.254824099922191113e-03
9.625000000000000000e+00,5.305300000000000640e-03,4.478691392788692986e-03,4.478691392788692986e-03,4.502081905224507991e-03
1.000999999999999979e+01,5.423199999999999549e-03,4.732932746185153187e-03,4.732932746185153187e-03,4.756131233942246898e-03
1.039499999999999957e+01,5.526500000000000162e-03,4.994104851608664741e-03,4.994104851608664741e-03,5.017066990317385969e-03
1.077999999999999936e+01,5.620499999999999628e-03,5.262299539826985860e-03,5.262299539826985860e-03,5.284978816720221906e-03
1.116499999999999915e+01,5.708399999999999759e-03,5.537602955034302485e-03,5.537602955034302485e-03,5.559950627988106096e-03
1.155000000000000071e+01,5.790199999999999687e-03,5.820094658812250028e-03,5.820094658812250028e-03,5.842059705129447160e-03
1.193500000000000050e+01,5.869499999999999718e-03,6.109846950054531080e-03,6.109846950054531080e-03,6.131376058967602516e-03
1.232000000000000028e+01,5.949100000000000568e-03,6.406924301159892636e-03,6.406924301159892636e-03,6.427961959771664319e-03
1.270500000000000007e+01,6.030300000000000590e-03,6.711382783179169198e-03,6.711382783179169198e-03,6.731871158324592534e-03
