dist(m),time(s),CeCation(S), Acetaldehyde1-Ce(S), Acetaldehyde2-Ce(S), OAnion(S)
0.000000000000000000e+00,0.000000000000000000e+00,1.450339071300970884e-37,-1.450339071301223544e-37,2.527141542814212063e-50,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,9.816937119794132629e-27,-9.816937119794900317e-27,7.675705593202156756e-40,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,3.950401679292108535e-26,-3.950401679292516055e-26,4.074612257606147842e-39,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,1.508304228738651498e-25,-1.508304228738825985e-25,1.743822825647928505e-38,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00,5.480077818306119055e-25,-5.480077818306805066e-25,6.861948589605433742e-38,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,1.899809425224944442e-24,-1.899809425225199745e-24,2.552335933762418879e-37,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+00,6.300142531399879880e-24,-6.300142531400785010e-24,9.049571431490289130e-37,0.000000000000000000e+00
0.000000000000000000e+00,7.000000000000000000e+00,2.003192242659217945e-23,-2.003192242659525043e-23,3.070455865450546355e-36,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+00,6.120285806865286087e-23,-6.120285806866285258e-23,9.995495887933585277e-36,0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+00,1.800439098888600718e-22,-1.800439098888913634e-22,3.128849554072910539e-35,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,5.109341644292653228e-22,-5.109341644293596445e-22,9.436298584733408050e-35,0.000000000000000000e+00
0.000000000000000000e+00,1.100000000000000000e+01,1.401197760759527854e-21,-1.401197760759802638e-21,2.746932921644500358e-34,0.000000000000000000e+00
0.000000000000000000e+00,1.200000000000000000e+01,3.719636965739184499e-21,-3.719636965739957880e-21,7.731483647029732680e-34,0.000000000000000000e+00
0.000000000000000000e+00,1.300000000000000000e+01,9.572851513202037923e-21,-9.572851513204145914e-21,2.107353614571562084e-33,0.000000000000000000e+00
0.000000000000000000e+00,1.400000000000000000e+01,2.391953270537798078e-20,-2.391953270538355093e-20,5.570828588677154908e-33,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+01,5.810677691785017549e-20,-5.810677691786447552e-20,1.430270384567395292e-32,0.000000000000000000e+00
0.000000000000000000e+00,1.600000000000000000e+01,1.374104775348219709e-19,-1.374104775348576728e-19,3.571115224858996686e-32,0.000000000000000000e+00
0.000000000000000000e+00,1.700000000000000000e+01,3.167049923145203036e-19,-3.167049923146071149e-19,8.681891128935720576e-32,0.000000000000000000e+00
0.000000000000000000e+00,1.800000000000000000e+01,7.122365104913480924e-19,-7.122365104915538780e-19,2.057573945837458283e-31,0.000000000000000000e+00
0.000000000000000000e+00,1.900000000000000000e+01,1.564557562977549884e-18,-1.564557562978025782e-18,4.758870508537207599e-31,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+01,3.360424010233143414e-18,-3.360424010234218853e-18,1.075249351431177228e-30,0.000000000000000000e+00
0.000000000000000000e+00,2.100000000000000000e+01,7.063898118988108157e-18,-7.063898118990483984e-18,2.375722364142316877e-30,0.000000000000000000e+00
0.000000000000000000e+00,2.200000000000000000e+01,1.454562085290139166e-17,-1.454562085290652850e-17,5.137646729776040532e-30,0.000000000000000000e+00
0.000000000000000000e+00,2.300000000000000000e+01,2.936472296545224511e-17,-2.936472296546312893e-17,1.088413308316583545e-29,0.000000000000000000e+00
0.000000000000000000e+00,2.400000000000000000e+01,5.816661234624001243e-17,-5.816661234626261823e-17,2.260700921478971042e-29,0.000000000000000000e+00
0.000000000000000000e+00,2.500000000000000000e+01,1.131372651398711519e-16,-1.131372651399172264e-16,4.607354391264670156e-29,0.000000000000000000e+00
0.000000000000000000e+00,2.600000000000000000e+01,2.162390292145654791e-16,-2.162390292146576772e-16,9.220217366663003890e-29,0.000000000000000000e+00
0.000000000000000000e+00,2.700000000000000000e+01,4.064014112389952418e-16,-4.064014112391765319e-16,1.813079691632490036e-28,0.000000000000000000e+00
0.000000000000000000e+00,2.800000000000000000e+01,7.515364633863602934e-16,-7.515364633867108435e-16,3.505648790842193884e-28,0.000000000000000000e+00
0.000000000000000000e+00,2.900000000000000000e+01,1.368312762267554086e-15,-1.368312762268221068e-15,6.669152962740583172e-28,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+01,2.454225841618680656e-15,-2.454225841619929817e-15,1.249064876806336275e-27,0.000000000000000000e+00
0.000000000000000000e+00,3.100000000000000000e+01,4.338886099780066070e-15,-4.338886099782370333e-15,2.304410036075398538e-27,0.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000000e+01,7.564938639281461770e-15,-7.564938639285652199e-15,4.190166038641663553e-27,0.000000000000000000e+00
0.000000000000000000e+00,3.300000000000000000e+01,1.301408348725845711e-14,-1.301408348726597022e-14,7.513188293345285027e-27,0.000000000000000000e+00
0.000000000000000000e+00,3.400000000000000000e+01,2.210088250600450693e-14,-2.210088250601779766e-14,1.329085096416295850e-26,0.000000000000000000e+00
0.000000000000000000e+00,3.500000000000000000e+01,3.706721581102374071e-14,-3.706721581104694584e-14,2.320707238899426191e-26,0.000000000000000000e+00
0.000000000000000000e+00,3.600000000000000000e+01,6.142441145833970917e-14,-6.142441145837972020e-14,4.001479453376332828e-26,0.000000000000000000e+00
0.000000000000000000e+00,3.700000000000000000e+01,1.006095057780346230e-13,-1.006095057781027806e-13,6.816122524517113693e-26,0.000000000000000000e+00
0.000000000000000000e+00,3.800000000000000000e+01,1.629483509432720683e-13,-1.629483509433868255e-13,1.147479697992925264e-25,0.000000000000000000e+00
