dist(m),time(s),CeCation(S), Acetaldehyde1-Ce(S), Acetaldehyde2-Ce(S), OAnion(S)
0.000000000000000000e+00,0.000000000000000000e+00,1.065219286347421475e-40,-1.065219286347607038e-40,1.856094967375556594e-53,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,8.306385430886363016e-30,-8.306385430887011817e-30,6.494642015053013453e-43,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,3.829703001172976025e-29,-3.829703001173361102e-29,3.850112356687926074e-42,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,1.666751395343173372e-28,-1.666751395343359240e-28,1.858197204403190462e-41,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00,6.869431413411748391e-28,-6.869431413412574372e-28,8.256648082237884999e-41,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,2.689089784559186403e-27,-2.689089784559532221e-27,3.459688428918836339e-40,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+00,1.002588018063023671e-26,-1.002588018063161424e-26,1.376959721564627469e-39,0.000000000000000000e+00
0.000000000000000000e+00,7.000000000000000000e+00,3.569328189095838046e-26,-3.569328189096360360e-26,5.224279045377948037e-39,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+00,1.216282490362709999e-25,-1.216282490362899410e-25,1.894595025267822754e-38,0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+00,3.975880692062749424e-25,-3.975880692063407885e-25,6.582736916954797432e-38,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,1.249354262876637662e-24,-1.249354262876857333e-24,2.195972796778865681e-37,0.000000000000000000e+00
0.000000000000000000e+00,1.100000000000000000e+01,3.781242316925647010e-24,-3.781242316926351572e-24,7.047622364350860504e-37,0.000000000000000000e+00
0.000000000000000000e+00,1.200000000000000000e+01,1.104253883479581264e-23,-1.104253883479799318e-23,2.180024785681557073e-36,0.000000000000000000e+00
