dist(m),time(s),CeCation(S), Acetaldehyde1-Ce(S), Acetaldehyde2-Ce(S), OAnion(S)
0.000000000000000000e+00,0.000000000000000000e+00,6.074679320849561839e-13,-6.074679325872038536e-13,5.022476779841819578e-22,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,8.452138111664534547e-13,-8.452138111664534547e-13,-8.981529156666802825e-33,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,1.161102334111831766e-12,-1.161102334111831766e-12,-4.100688532956533526e-33,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,1.575945388657179762e-12,-1.575945388657179762e-12,4.719186640585188321e-33,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+00,2.114754212336479620e-12,-2.114754212336479620e-12,-7.530592969559836908e-33,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+00,2.807275667197292177e-12,-2.807275667197292177e-12,4.230557148835379850e-33,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+00,3.688532204786835128e-12,-3.688532204786835128e-12,-4.453712996395482910e-34,0.000000000000000000e+00
0.000000000000000000e+00,7.000000000000000000e+00,4.799347950521335196e-12,-4.799347950521335196e-12,-6.328861584827195943e-35,0.000000000000000000e+00
0.000000000000000000e+00,8.000000000000000000e+00,6.186838033011600864e-12,-6.186838033011600864e-12,-8.618724580229012008e-34,0.000000000000000000e+00
0.000000000000000000e+00,9.000000000000000000e+00,7.904830488631778798e-12,-7.904830488631778798e-12,3.319878165366337272e-33,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+01,1.001418730943355203e-11,-1.001418730943355203e-11,2.190049419084793989e-32,0.000000000000000000e+00
0.000000000000000000e+00,1.100000000000000000e+01,1.258297143918083269e-11,-1.258297143918083269e-11,-2.498273441825204352e-32,0.000000000000000000e+00
0.000000000000000000e+00,1.200000000000000000e+01,1.568640670899817704e-11,-1.568640670899817704e-11,-1.018354266004364114e-32,0.000000000000000000e+00
0.000000000000000000e+00,1.300000000000000000e+01,1.940655855367860752e-11,-1.940655855367860752e-11,4.894570397727873617e-33,0.000000000000000000e+00
0.000000000000000000e+00,1.400000000000000000e+01,2.383165179464784777e-11,-2.383165179464784777e-11,-1.674844351051595241e-33,0.000000000000000000e+00
0.000000000000000000e+00,1.500000000000000000e+01,2.905493115430860360e-11,-2.905493115430860360e-11,-6.793416952272163966e-34,0.000000000000000000e+00
0.000000000000000000e+00,1.600000000000000000e+01,3.517294634904926191e-11,-3.517294634904926191e-11,3.092584577691339759e-33,0.000000000000000000e+00
0.000000000000000000e+00,1.700000000000000000e+01,4.228314980598566381e-11,-4.228314980598566381e-11,1.744621695716406228e-33,0.000000000000000000e+00
0.000000000000000000e+00,1.800000000000000000e+01,5.048067653157293077e-11,-5.048067653157293077e-11,2.835668532375620601e-33,0.000000000000000000e+00
0.000000000000000000e+00,1.900000000000000000e+01,5.985418155511711760e-11,-5.985418155511711760e-11,3.865965820984339156e-33,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+01,7.048062948188216294e-11,-7.048062948188216294e-11,5.038074748076258476e-33,0.000000000000000000e+00
0.000000000000000000e+00,2.100000000000000000e+01,8.241895772704576945e-11,-8.241895772704576945e-11,7.355209212417151612e-33,0.000000000000000000e+00
0.000000000000000000e+00,2.200000000000000000e+01,9.570259264143429794e-11,-9.570259264143429794e-11,8.705993280834058633e-33,0.000000000000000000e+00
0.000000000000000000e+00,2.300000000000000000e+01,1.103308845343652043e-10,-1.103308845343652043e-10,1.155858893186152017e-32,0.000000000000000000e+00
0.000000000000000000e+00,2.400000000000000000e+01,1.262596522946190043e-10,-1.262596522946190043e-10,1.514695000695566791e-32,0.000000000000000000e+00
0.000000000000000000e+00,2.500000000000000000e+01,1.433911578290056551e-10,-1.433911578290056551e-10,1.880790961315660013e-33,0.000000000000000000e+00
0.000000000000000000e+00,2.600000000000000000e+01,1.615640858940325306e-10,-1.615640858940325306e-10,1.466358672989754329e-32,0.000000000000000000e+00
0.000000000000000000e+00,2.700000000000000000e+01,1.805442310751410584e-10,-1.805442310751410584e-10,4.569381640516396001e-32,0.000000000000000000e+00
0.000000000000000000e+00,2.800000000000000000e+01,2.000170303935165998e-10,-2.000170303935165998e-10,4.880464465518006167e-32,0.000000000000000000e+00
0.000000000000000000e+00,2.900000000000000000e+01,2.195830162684203564e-10,-2.195830162684203564e-10,5.981968499922135610e-32,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+01,2.387578097574326204e-10,-2.387578097574326204e-10,6.628546816603233209e-32,0.000000000000000000e+00
0.000000000000000000e+00,3.100000000000000000e+01,2.569778574814763709e-10,-2.569778574814763709e-10,8.326186354105974250e-32,0.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000000e+01,2.736144534444037706e-10,-2.736144534444037706e-10,1.062221834386090568e-31,0.000000000000000000e+00
0.000000000000000000e+00,3.300000000000000000e+01,2.879949509852170681e-10,-2.879949509852170681e-10,7.043750229223278314e-32,0.000000000000000000e+00
0.000000000000000000e+00,3.400000000000000000e+01,2.994347317850810914e-10,-2.994347317850810914e-10,1.262559926003512041e-31,0.000000000000000000e+00
0.000000000000000000e+00,3.500000000000000000e+01,3.072766609647531128e-10,-3.072766609647531128e-10,1.290572426581347482e-31,0.000000000000000000e+00
0.000000000000000000e+00,3.600000000000000000e+01,3.109394963007730369e-10,-3.109394963007730369e-10,1.464519259429587613e-31,0.000000000000000000e+00
0.000000000000000000e+00,3.700000000000000000e+01,3.099690110926478422e-10,-3.099690110926478422e-10,1.623389671931921415e-31,0.000000000000000000e+00
0.000000000000000000e+00,3.800000000000000000e+01,3.040896800304112981e-10,-3.040896800304112981e-10,1.735921156729359985e-31,0.000000000000000000e+00
0.000000000000000000e+00,3.900000000000000000e+01,2.932499987278992490e-10,-2.932499987278992490e-10,1.813304420041731500e-31,0.000000000000000000e+00
0.000000000000000000e+00,4.000000000000000000e+01,2.776549383210925011e-10,-2.776549383210925011e-10,1.969827605424343358e-31,0.000000000000000000e+00
0.000000000000000000e+00,4.100000000000000000e+01,2.577789153433641597e-10,-2.577789153433641597e-10,1.836118414402490456e-31,0.000000000000000000e+00
0.000000000000000000e+00,4.200000000000000000e+01,2.343539789506734365e-10,-2.343539789506734365e-10,1.876171738714668752e-31,0.000000000000000000e+00
0.000000000000000000e+00,4.300000000000000000e+01,2.083302780923809121e-10,-2.083302780923809121e-10,1.877902066399079159e-31,0.000000000000000000e+00
0.000000000000000000e+00,4.400000000000000000e+01,1.808103220513120156e-10,-1.808103220513120156e-10,1.654847781550887144e-31,0.000000000000000000e+00
0.000000000000000000e+00,4.500000000000000000e+01,1.529619186141860928e-10,-1.529619186141860928e-10,1.594180988302689215e-31,0.000000000000000000e+00
0.000000000000000000e+00,4.600000000000000000e+01,1.259195481796131070e-10,-1.259195481796131070e-10,1.441543517046155511e-31,0.000000000000000000e+00
0.000000000000000000e+00,4.700000000000000000e+01,1.006873746545517277e-10,-1.006873746545517277e-10,4.964686284765721422e-32,0.000000000000000000e+00
0.000000000000000000e+00,4.800000000000000000e+01,7.805700678995397284e-11,-7.805700678995397284e-11,2.686416484849455085e-31,0.000000000000000000e+00
0.000000000000000000e+00,4.900000000000000000e+01,5.855281838824450252e-11,-5.855281838824450252e-11,8.370422557516118574e-32,0.000000000000000000e+00
