Distance (m),time(s),T_gas (K),T_surf (K),P (atm),Acetaldehyde,CeCation(S),Acetaldehyde1-Ce(S),Acetaldehyde2-Ce(S),OAnion(S)
0.0,0.0,300.0,100.0,9.999999999999998e-21,1.0,0.25002863709965245,0.24997136290058417,0.0,0.5000000000000006
0.0,1.0,300.0,102.0,9.999999999999998e-21,1.0,0.25005971241217567,0.24994028758794246,3.7824250822477187e-25,0.499999999999882
0.0,2.0,300.0,104.0,9.999999999999998e-21,1.0,0.250102402219071,0.2498975977810472,4.9498782214506715e-25,0.499999999999882
0.0,3.0,300.0,106.0,9.999999999999998e-21,1.0,0.25016034545149446,0.24983965454862372,6.413842582392413e-25,0.49999999999988193
0.0,4.0,300.0,108.0,9.999999999999998e-21,1.0,0.2502381010333877,0.2497618989667304,8.233575978403082e-25,0.499999999999882
0.0,5.0,300.0,110.0,9.999999999999998e-21,1.0,0.2503413224054051,0.24965867759471314,1.047698908806009e-24,0.49999999999988204
0.0,6.0,300.0,112.0,9.999999999999998e-21,1.0,0.25047695197726216,0.24952304802285594,1.3221480282083765e-24,0.49999999999988193
0.0,7.0,300.0,114.0,9.999999999999998e-21,1.0,0.25065343676047674,0.24934656323964144,1.655484940988017e-24,0.499999999999882
0.0,8.0,300.0,116.0,9.999999999999998e-21,1.0,0.2508809599574878,0.24911904004263027,2.057631939534556e-24,0.49999999999988193
0.0,9.0,300.0,118.0,9.999999999999998e-21,1.0,0.2511717259287056,0.24882827407141264,2.53977086021464e-24,0.49999999999988204
0.0,10.0,300.0,120.0,9.999999999999998e-21,1.0,0.25154014127737423,0.24845985872274393,3.1144791928497562e-24,0.49999999999988204
0.0,11.0,300.0,122.0,9.999999999999998e-21,1.0,0.252003151269706,0.24799684873041206,3.795893643873172e-24,0.499999999999882
0.0,12.0,300.0,124.0,9.999999999999998e-21,1.0,0.25258049524100973,0.24741950475910834,4.599907481359269e-24,0.49999999999988215
0.0,13.0,300.0,126.0,9.999999999999998e-21,1.0,0.25329496814245217,0.24670503185766587,5.544411874834541e-24,0.49999999999988204
0.0,14.0,300.0,128.0,9.999999999999998e-21,1.0,0.2541726642988613,0.2458273357012568,6.649592319972949e-24,0.49999999999988204
0.0,15.0,300.0,130.0,9.999999999999998e-21,1.0,0.25524315696151106,0.24475684303860704,7.938291788936363e-24,0.499999999999882
0.0,16.0,300.0,132.0,9.999999999999998e-21,1.0,0.25653967901573743,0.24346032098438072,9.436456151073153e-24,0.49999999999988193
0.0,17.0,300.0,134.0,9.999999999999998e-21,1.0,0.2580991709941981,0.2419008290059201,1.1173673068920387e-23,0.499999999999882
0.0,18.0,300.0,136.0,9.999999999999998e-21,1.0,0.25996223084452136,0.24003776915559671,1.3183818397307056e-23,0.4999999999998817
0.0,19.0,300.0,138.0,9.999999999999998e-21,1.0,0.2621729270483186,0.23782707295179947,1.550582069243043e-23,0.4999999999998819
0.0,20.0,300.0,140.0,9.999999999999998e-21,1.0,0.2647784189121503,0.2352215810879678,1.8184548900246687e-23,0.49999999999988204
0.0,21.0,300.0,142.0,9.999999999999998e-21,1.0,0.2678283581318438,0.23217164186827433,2.1271822299965005e-23,0.4999999999998818
0.0,22.0,300.0,144.0,9.999999999999998e-21,1.0,0.2713740255195141,0.2286259744806041,2.482753041780069e-23,0.499999999999882
0.0,23.0,300.0,146.0,9.999999999999998e-21,1.0,0.2754671551477428,0.22453284485237532,2.892083534640209e-23,0.4999999999998818
0.0,24.0,300.0,148.0,9.999999999999998e-21,1.0,0.28015839947023574,0.21984160052988236,3.363140861165166e-23,0.4999999999998819
0.0,25.0,300.0,150.0,9.999999999999998e-21,1.0,0.28549545344143,0.21450454655868814,3.905063708374934e-23,0.49999999999988193
0.0,26.0,300.0,152.0,9.999999999999998e-21,1.0,0.2915207528075008,0.20847924719261735,4.5282692425367804e-23,0.49999999999988193
0.0,27.0,300.0,154.0,9.999999999999998e-21,1.0,0.29826886962889665,0.20173113037122153,5.244535056344393e-23,0.49999999999988204
0.0,28.0,300.0,156.0,9.999999999999998e-21,1.0,0.3057634818478897,0.19423651815222834,6.067038035554018e-23,0.499999999999882
0.0,29.0,300.0,158.0,9.999999999999998e-21,1.0,0.31401424861219873,0.18598575138791937,7.01033583612087e-23,0.49999999999988204
0.0,30.0,300.0,160.0,9.999999999999998e-21,1.0,0.323013514401177,0.1769864855989411,8.090268376349331e-23,0.49999999999988193
0.0,31.0,300.0,162.0,9.999999999999998e-21,1.0,0.3327333321197177,0.16726666788040054,9.323767200210975e-23,0.49999999999988193
0.0,32.0,300.0,164.0,9.999999999999998e-21,1.0,0.34312230254724635,0.15687769745287183,1.0728537795301196e-22,0.49999999999988204
0.0,33.0,300.0,166.0,9.999999999999998e-21,1.0,0.35410412197530394,0.14589587802481416,1.2322648171531306e-22,0.4999999999998821
0.0,34.0,300.0,168.0,9.999999999999998e-21,1.0,0.36557613029876884,0.13442386970134915,1.4123971139638733e-22,0.4999999999998821
0.0,35.0,300.0,170.0,9.999999999999998e-21,1.0,0.3774100739832093,0.12258992601690871,1.6149550562314699e-22,0.4999999999998821
0.0,36.0,300.0,172.0,9.999999999999998e-21,1.0,0.3894537731128966,0.11054622688722152,1.8414872793883109e-22,0.49999999999988193
0.0,37.0,300.0,174.0,9.999999999999998e-21,1.0,0.40153545554215,0.09846454445796815,2.0933154038049705e-22,0.499999999999882
0.0,38.0,300.0,176.0,9.999999999999998e-21,1.0,0.4134696710449672,0.08653032895515085,2.3714674292318274e-22,0.499999999999882
0.0,39.0,300.0,178.0,9.999999999999998e-21,1.0,0.4250651555240887,0.07493484447602929,2.6766262100580993e-22,0.4999999999998821
0.0,40.0,300.0,180.0,9.999999999999998e-21,1.0,0.4361341709968992,0.06386582900321877,3.0091016332707907e-22,0.4999999999998821
0.0,41.0,300.0,182.0,9.999999999999998e-21,1.0,0.4465026932818047,0.05349730671831328,3.3688344687725945e-22,0.499999999999882
0.0,42.0,300.0,184.0,9.999999999999998e-21,1.0,0.4560205790081188,0.04397942099199918,3.755437109214528e-22,0.49999999999988204
0.0,43.0,300.0,186.0,9.999999999999998e-21,1.0,0.46457073340127636,0.03542926659884166,4.168272442053162e-22,0.49999999999988204
0.0,44.0,300.0,188.0,9.999999999999998e-21,1.0,0.47207613519617464,0.027923864803943415,4.606565441710999e-22,0.4999999999998822
0.0,45.0,300.0,190.0,9.999999999999998e-21,1.0,0.4785039146591079,0.021496085341010086,5.069537749348092e-22,0.4999999999998822
0.0,46.0,300.0,192.0,9.999999999999998e-21,1.0,0.4838658298526393,0.016134170147478612,5.556549395727019e-22,0.4999999999998822
0.0,47.0,300.0,194.0,9.999999999999998e-21,1.0,0.4882149023943624,0.011785097605755466,6.067228361720866e-22,0.499999999999882
0.0,48.0,300.0,196.0,9.999999999999998e-21,1.0,0.49163864435171034,0.00836135564840754,6.60157054215588e-22,0.4999999999998822
0.0,49.0,300.0,198.0,9.999999999999998e-21,1.0,0.4942496154663698,0.0057503845337482104,7.1599945725153e-22,0.4999999999998822
0.0,50.0,300.0,200.0,9.999999999999998e-21,1.0,0.49617462022492115,0.0038253797751967864,7.743345340994373e-22,0.4999999999998821
0.0,51.0,300.0,202.0,9.999999999999998e-21,1.0,0.49754387031092545,0.002456129689192628,8.352847247903801e-22,0.49999999999988204
0.0,52.0,300.0,204.0,9.999999999999998e-21,1.0,0.49848145004183736,0.00151854995828061,8.990018165865591e-22,0.49999999999988193
0.0,53.0,300.0,206.0,9.999999999999998e-21,1.0,0.4990980759670331,0.0009019240330849482,9.656561135382523e-22,0.49999999999988204
0.0,54.0,300.0,208.0,9.999999999999998e-21,1.0,0.49948667111585143,0.0005133288842665985,1.0354253298904555e-21,0.4999999999998821
0.0,55.0,300.0,210.0,9.999999999999998e-21,1.0,0.49972075358558843,0.0002792464145295941,1.1084849530975486e-21,0.499999999999882
0.0,56.0,300.0,212.0,9.999999999999998e-21,1.0,0.49985519408829143,0.0001448059118265163,1.185001257045554e-21,0.4999999999998821
0.0,57.0,300.0,214.0,9.999999999999998e-21,1.0,0.499928617532369,7.138246774889028e-05,1.265127406621233e-21,0.4999999999998821
0.0,58.0,300.0,216.0,9.999999999999998e-21,1.0,0.49996664490090553,3.33550992123398e-05,1.3490024000450787e-21,0.4999999999998821
0.0,59.0,300.0,218.0,9.999999999999998e-21,1.0,0.49998526954055855,1.4730459559496426e-05,1.4367521182350675e-21,0.4999999999998821
0.0,60.0,300.0,220.0,9.999999999999998e-21,1.0,0.499993870427263,6.129572854851797e-06,1.528491568407979e-21,0.49999999999988204
