# delta_H_rxn, delta_S_rxn
1.709999999999999298e-01,-5.000000000000013115e-05
3.637088453769676821e-02,-5.000000000000013115e-05
3.056291154623030915e-01,-5.000000000000013115e-05
1.709999999999999298e-01,-3.427422174252570987e-04
1.709999999999999298e-01,2.427422174252568364e-04
3.637088453769676821e-02,-3.427422174252570987e-04
3.637088453769676821e-02,2.427422174252568364e-04
3.056291154623030915e-01,-3.427422174252570987e-04
3.056291154623030915e-01,2.427422174252568364e-04
